,Source,Destination,Weight
189, IllnessC0221512, Scapulalgia,1.0
190, IllnessC0221512, Digestive symptom,2.0
191, IllnessC0221512, Earache,4.0
192, IllnessC0221512, Prickling sensation,1.0
193, IllnessC0221512, Abnormal sensation,2.0
194, IllnessC0221512, Halitosis,1.0
195, IllnessC0221512, Posterior rhinorrhea,1.0
196, IllnessC0221512, gas/bloating,1.0
197, IllnessC0221512, Right lower quadrant pain,1.0
198, IllnessC0221512, Ovarian pain,1.0
199, IllnessC0221512, Feeling despair,1.0
200, IllnessC0221512, Felt faint,1.0
201, IllnessC0221512, Pain in right leg,2.0
202, IllnessC0221512, Rib pain,2.0
203, IllnessC0221512, ear popping,1.0
204, IllnessC0221512, Wheezing,6.0
205, IllnessC0221512, Facial Pain,2.0
206, IllnessC0221512, unable to focus,3.0
207, IllnessC0221512, sinus pressure,3.0
208, IllnessC0221512, Redness of eye,2.0
209, IllnessC0221512, Aural pressure,1.0
210, IllnessC0221512, Productive cough,1.0
211, IllnessC0221512, Sore eye,1.0
212, IllnessC0221512, clogged ear,1.0
213, IllnessC0221512, Thoracic back pain,1.0
214, IllnessC0221512, Cold intolerance,1.0
215, IllnessC0221512, Spasmodic movement,2.0
216, IllnessC0221512, Hemoptysis,1.0
217, IllnessC0221512, Paresthesia of hand,1.0
218, IllnessC0221512, Leg cramps,2.0
219, IllnessC0221512, sitting pain,2.0
220, IllnessC0221512, Burning feet,2.0
221, IllnessC0221512, Redness of face,4.0
222, IllnessC0221512, Shoulder stiff,1.0
223, IllnessC0221512, Dry cough,7.0
224, IllnessC0221512, headache persistent,1.0
225, IllnessC0221512, Hoarseness,2.0
226, IllnessC0221512, walking pain,1.0
227, IllnessC0221512, Unbearable Pain,1.0
228, IllnessC0221512, Syncope| Cardiogenic,1.0
229, IllnessC0221512, impending doom,2.0
230, IllnessC0221512, Pharyngeal swelling,1.0
231, IllnessC0221512, Sinus pain,5.0
232, IllnessC0221512, Feeling of loss of feeling,1.0
233, IllnessC0221512, Severe vertigo,2.0
234, IllnessC0221512, laziness,1.0
235, IllnessC0221512, Spots on skin,1.0
236, IllnessC0221512, Depressive Symptoms,1.0
237, IllnessC0221512, Pain| Postoperative,3.0
238, IllnessC0221512, Memory Loss,1.0
239, IllnessC0221512, high weight,1.0
240, IllnessC0221512, Oral pain,1.0
241, IllnessC0221512, Knee stiff,1.0
242, IllnessC0221512, Cushingoid facies,1.0
243, IllnessC0221512, Joint stiffness,1.0
244, IllnessC0221512, Decrease in appetite,1.0
245, IllnessC0221512, Muscular fasciculation,3.0
246, IllnessC0221512, Jaw pain,4.0
247, IllnessC0221512, opiate withdrawal symptoms,1.0
248, IllnessC0221512, Muscle Rigidity,1.0
249, IllnessC0221512, Congestion of nasal sinus,1.0
250, IllnessC0221512, neck Muscle Tension,1.0
251, IllnessC0221512, recurrent muscle twitches,2.0
252, IllnessC0221512, charmed,1.0
253, IllnessC0221512, Forgetful,6.0
254, IllnessC0221512, Bloodshot eye,1.0
255, IllnessC0221512, stomach burning sensation of,2.0
256, IllnessC0221512, Numbness of foot,2.0
257, IllnessC0221512, tingling tongue,1.0
258, IllnessC0221512, Throat symptom,2.0
259, IllnessC0221512, Yellow complexion,1.0
260, IllnessC0221512, exercise induced,1.0
261, IllnessC0221512, Pharyngeal dryness,1.0
262, IllnessC0221512, Generalized muscle weakness,1.0
263, IllnessC0221512, Neurologic Symptoms,1.0
264, IllnessC0221512, Abnormal coordination,1.0
265, IllnessC0221512, Muscle Spasticity,2.0
266, IllnessC0221512, Visual disturbance,1.0
267, IllnessC0221512, blemishes,1.0
268, IllnessC0221512, General symptom,1.0
269, IllnessC0221512, Vertigo| Constant,1.0
270, IllnessC0221512, room spinning,1.0
271, IllnessC0221512, Chronic cough,1.0
272, IllnessC0221512, Taste| Metallic,1.0
273, IllnessC0221512, Facial twitching,1.0
274, IllnessC0221512, Fasciculation| Benign,1.0
275, IllnessC0221512, Myotonus,1.0
276, IllnessC0221512, electric shock sensation,2.0
277, IllnessC0221512, Pain of lymph node,1.0
278, IllnessC0221512, Thirsty,1.0
279, IllnessC0221512, Urinary symptoms,1.0
280, IllnessC0221512, ENT symptoms,1.0
281, IllnessC0221512, Skin symptom,1.0
282, IllnessC0221512, cold hands & feet,1.0
283, IllnessC0221512, Thick skin,2.0
284, IllnessC0221512, Throbbing Headache,3.0
285, IllnessC0221512, Pain in spine,2.0
286, IllnessC0221512, Abnormal heart beat,2.0
287, IllnessC0221512, Bladder pain,2.0
288, IllnessC0221512, Clubbing,4.0
289, IllnessC0221512, Pain in left leg,1.0
290, IllnessC0221512, Glossalgia,1.0
291, IllnessC0221512, painful rt shoulder,1.0
292, IllnessC0221512, Infantile Colic,1.0
293, IllnessC0221512, convulsed,2.0
294, IllnessC0221512, Breast tenderness,2.0
295, IllnessC0221512, Pain in finger,4.0
296, IllnessC0221512, Neck swelling,2.0
297, IllnessC0221512, Numbness of limbs,1.0
298, IllnessC0221512, Upper Extremity Paresis,1.0
299, Diarrhea, Constipation,65.0
300, Diarrhea, Weakness,17.0
301, Diarrhea, Headache,27.0
302, Diarrhea, Chronic constipation,3.0
303, Diarrhea, Exanthema,11.0
304, Diarrhea, Pain,92.0
305, Diarrhea, Pruritus,14.0
306, Diarrhea, Catch - Finding of sensory dimension of pain,4.0
307, Diarrhea, Sore skin,1.0
308, Diarrhea, Burning sensation,11.0
309, Diarrhea, Stinging Sensation,2.0
310, Diarrhea, Abdominal Pain,20.0
311, Diarrhea, Nausea,84.0
312, Diarrhea, Cramping sensation quality,16.0
313, Diarrhea, headache severe,2.0
314, Diarrhea, Overweight,1.0
315, Diarrhea, gastrointestinal gas,18.0
316, Diarrhea, Sore Throat,11.0
317, Diarrhea, Low Back Pain,5.0
318, Diarrhea, Sore to touch,13.0
319, Diarrhea, Clouded consciousness,6.0
320, Diarrhea, Dizziness,24.0
321, Diarrhea, Muscle Cramp,19.0
322, Diarrhea, Sharp pain,6.0
323, Diarrhea, Tired,30.0
324, Diarrhea, Fatigue,21.0
325, Diarrhea, Abdominal bloating,30.0
326, Diarrhea, Myalgia,7.0
327, Diarrhea, Coughing,9.0
328, Diarrhea, blotch,1.0
329, Diarrhea, Severe diarrhea,2.0
330, Diarrhea, Upset stomach,17.0
331, Diarrhea, Stomach cramps,17.0
332, Diarrhea, Influenza-like symptoms,6.0
333, Diarrhea, Rhinorrhea,4.0
334, Diarrhea, Malaise,18.0
335, Diarrhea, Blood in stool,6.0
336, Diarrhea, sore back,1.0
337, Diarrhea, Heartburn,10.0
338, Diarrhea, Breathing abnormally deep,1.0
339, Diarrhea, Chest Pain,4.0
340, Diarrhea, Hot flushes,1.0
341, Diarrhea, Spasm,3.0
342, Diarrhea, Dyspnea,5.0
343, Diarrhea, Ache,14.0
344, Diarrhea, Lower abdominal pain,1.0
345, Diarrhea, Nervousness,8.0
346, Diarrhea, Vomiting,35.0
347, Diarrhea, Exhaustion,13.0
348, Diarrhea, Hunger,5.0
349, Diarrhea, Depressed - symptom,5.0
350, Diarrhea, Sleeplessness,11.0
351, Diarrhea, Syncope,6.0
352, Diarrhea, Flatulence,4.0
353, Diarrhea, Flushing,2.0
354, Diarrhea, side pain,5.0
355, Diarrhea, Dry skin,1.0
356, Diarrhea, Has tingling sensation,7.0
357, Diarrhea, Mass of body region,1.0
358, Diarrhea, Lethargy,1.0
359, Diarrhea, Menstrual spotting,1.0
360, Diarrhea, Dyspepsia,1.0
361, Diarrhea, Normal bowel habits,1.0
362, Diarrhea, Stabbing pain,5.0
363, Diarrhea, Loose stool,7.0
364, Diarrhea, Tremor,13.0
365, Diarrhea, Perceived quality of life,3.0
366, Diarrhea, Neck stiffness,3.0
367, Diarrhea, Chest tightness,3.0
368, Diarrhea, Chills,12.0
369, Diarrhea, Signs and Symptoms,1.0
370, Diarrhea, Eructation,6.0
371, Diarrhea, Arthralgia,7.0
372, Diarrhea, BODY ACHE,3.0
373, Diarrhea, Seizures,6.0
374, Diarrhea, Fluctuation,1.0
375, Diarrhea, Nasal congestion,5.0
376, Diarrhea, blotchy,1.0
377, Diarrhea, Back Pain,10.0
378, Diarrhea, Vertigo,8.0
379, Diarrhea, uti symptoms,1.0
380, Diarrhea, Feeling Sick,4.0
381, Diarrhea, lump in throat,2.0
382, Diarrhea, Dull pain,2.0
383, Diarrhea, Feeling strange,1.0
384, Diarrhea, Kidney problem,1.0
385, Diarrhea, digestive problem,4.0
386, Diarrhea, Muscular stiffness,3.0
387, Diarrhea, light bleeding between periods,1.0
388, Diarrhea, Lightheadedness,7.0
389, Diarrhea, Excruciating pain,2.0
390, Diarrhea, gas in stomach,3.0
391, Diarrhea, Neck Pain,2.0
392, Diarrhea, Cold sweat,2.0
393, Diarrhea, Pain| Burning,2.0
394, Diarrhea, rundown,3.0
395, Diarrhea, Numbness,3.0
396, Diarrhea, Flare,3.0
397, Diarrhea, sick to stomach,4.0
398, Diarrhea, Cardiovascular symptoms,1.0
399, Diarrhea, Abdominal discomfort,1.0
400, Diarrhea, Night sweats,2.0
401, Diarrhea, Feeling tired,1.0
402, Diarrhea, Hangover from any Alcohol or Other Drugs substance,4.0
403, Diarrhea, Knee pain,1.0
404, Diarrhea, Stiffness,2.0
405, Diarrhea, Sighing respiration,1.0
406, Diarrhea, Blackout - symptom,1.0
407, Diarrhea, feeling dizzy,1.0
408, Diarrhea, Gastric spasm,1.0
409, Diarrhea, Chronic pain,4.0
410, Diarrhea, Gasping for breath,1.0
411, Diarrhea, Upper abdominal pain,2.0
412, Diarrhea, Nightmares,3.0
413, Diarrhea, Excessive upper gastrointestinal gas,1.0
414, Diarrhea, Dryness of eye,1.0
415, Diarrhea, tingling in fingers,1.0
416, Diarrhea, Nausea and vomiting,1.0
417, Diarrhea, Retching,1.0
418, Diarrhea, Frontal headache,1.0
419, Diarrhea, Trembling,2.0
420, Diarrhea, Blurred vision,5.0
421, Diarrhea, Intermittent pain,1.0
422, Diarrhea, Hip pain,1.0
423, Diarrhea, Pruritus Ani,1.0
424, Diarrhea, Feeling nervous,1.0
425, Diarrhea, Agitation,3.0
426, Diarrhea, Shooting pain,2.0
427, Diarrhea, head pressure,5.0
428, Diarrhea, Rales,1.0
429, Diarrhea, Shallow breathing,1.0
430, Diarrhea, Increased sweating,1.0
431, Diarrhea, Muscle Weakness,1.0
432, Diarrhea, Pain in lower limb,2.0
433, Diarrhea, Withdrawal Symptoms,6.0
434, Diarrhea, Sleep disturbances,1.0
435, Diarrhea, Sciatica,4.0
436, Diarrhea, Digestive symptom,2.0
437, Diarrhea, Earache,4.0
438, Diarrhea, weight problem,1.0
439, Diarrhea, Abnormal sensation,1.0
440, Diarrhea, Posterior rhinorrhea,2.0
441, Diarrhea, gas/bloating,1.0
442, Diarrhea, Abdominal wind pain,2.0
443, Diarrhea, slight fever,1.0
444, Diarrhea, Equilibration disorder,1.0
445, Diarrhea, Wheezing,1.0
446, Diarrhea, Facial Pain,1.0
447, Diarrhea, unable to focus,1.0
448, Diarrhea, sinus pressure,2.0
449, Diarrhea, Redness of eye,2.0
450, Diarrhea, Redness of face,1.0
451, Diarrhea, Dry cough,2.0
452, Diarrhea, Pruritus of scalp,1.0
453, Diarrhea, Hoarseness,1.0
454, Diarrhea, impending doom,1.0
455, Diarrhea, Pharyngeal swelling,1.0
456, Diarrhea, ear congestion,1.0
457, Diarrhea, Memory Loss,2.0
458, Diarrhea, Jaw pain,1.0
459, Diarrhea, Congestion of nasal sinus,1.0
460, Diarrhea, arthritic pains,1.0
461, Diarrhea, Diarrhea and vomiting| symptom,2.0
462, Diarrhea, recurrent muscle twitches,1.0
463, Diarrhea, charmed,1.0
464, Diarrhea, Forgetful,2.0
465, Diarrhea, stomach burning sensation of,1.0
466, Diarrhea, exercise induced,1.0
467, Diarrhea, Muscle Spasticity,1.0
468, Diarrhea, Feeling Cold,3.0
469, Diarrhea, General symptom,1.0
470, Diarrhea, Spleen tender,1.0
471, Diarrhea, Taste| Metallic,2.0
472, Diarrhea, electric shock sensation,1.0
473, Diarrhea, Pain of lymph node,1.0
474, Diarrhea, Urinary symptoms,1.0
475, Diarrhea, ENT symptoms,1.0
476, Diarrhea, Skin symptom,1.0
477, Diarrhea, cold hands & feet,1.0
478, Diarrhea, Thick skin,1.0
479, Diarrhea, Flank Pain,1.0
480, Diarrhea, Glossalgia,1.0
481, Diarrhea, Drug Withdrawal Symptoms,1.0
482, Diarrhea, Urgent desire for stool,1.0
483, Diarrhea, Altered Taste,2.0
484, Diarrhea, Burning feeling vagina,1.0
485, Constipation, Weakness,11.0
486, Constipation, Headache,23.0
487, Constipation, Chronic constipation,8.0
488, Constipation, Exanthema,7.0
489, Constipation, Pain,106.0
490, Constipation, Pruritus,16.0
491, Constipation, Catch - Finding of sensory dimension of pain,3.0
492, Constipation, Sore skin,1.0
493, Constipation, Burning sensation,14.0
494, Constipation, Stinging Sensation,2.0
495, Constipation, Abdominal Pain,19.0
496, Constipation, Nausea,48.0
497, Constipation, Cramping sensation quality,13.0
498, Constipation, headache severe,1.0
499, Constipation, Overweight,1.0
500, Constipation, gastrointestinal gas,20.0
501, Constipation, Sore Throat,3.0
502, Constipation, Low Back Pain,4.0
503, Constipation, Sore to touch,9.0
504, Constipation, Clouded consciousness,5.0
505, Constipation, Dizziness,16.0
506, Constipation, Muscle Cramp,24.0
507, Constipation, Sharp pain,3.0
508, Constipation, Tired,21.0
509, Constipation, Fatigue,21.0
510, Constipation, Abdominal bloating,45.0
511, Constipation, Myalgia,6.0
512, Constipation, Coughing,4.0
513, Constipation, blotch,2.0
514, Constipation, Severe diarrhea,3.0
515, Constipation, Upset stomach,7.0
516, Constipation, Stomach cramps,7.0
517, Constipation, Influenza-like symptoms,1.0
518, Constipation, Rhinorrhea,2.0
519, Constipation, Malaise,17.0
520, Constipation, Blood in stool,4.0
521, Constipation, Heartburn,8.0
522, Constipation, Breathing abnormally deep,3.0
523, Constipation, Chest Pain,4.0
524, Constipation, Hot flushes,3.0
525, Constipation, Spasm,10.0
526, Constipation, Shoulder Pain,1.0
527, Constipation, Dyspnea,4.0
528, Constipation, Ache,9.0
529, Constipation, Right sided abdominal pain,1.0
530, Constipation, Lower abdominal pain,3.0
531, Constipation, Nervousness,5.0
532, Constipation, Vomiting,12.0
533, Constipation, Exhaustion,8.0
534, Constipation, Depressed - symptom,6.0
535, Constipation, Sleeplessness,10.0
536, Constipation, Syncope,3.0
537, Constipation, Flatulence,3.0
538, Constipation, Flushing,3.0
539, Constipation, side pain,2.0
540, Constipation, pregnancy signs,2.0
541, Constipation, Has tingling sensation,4.0
542, Constipation, Mass of body region,3.0
543, Constipation, Lethargy,3.0
544, Constipation, Menstrual spotting,1.0
545, Constipation, Dyspepsia,4.0
546, Constipation, Stabbing pain,6.0
547, Constipation, Loose stool,5.0
548, Constipation, Tremor,7.0
549, Constipation, Nerve Pain,1.0
550, Constipation, Perceived quality of life,4.0
551, Constipation, Neck stiffness,1.0
552, Constipation, Chest tightness,2.0
553, Constipation, Chills,2.0
554, Constipation, Signs and Symptoms,3.0
555, Constipation, Eructation,8.0
556, Constipation, Arthralgia,8.0
557, Constipation, BODY ACHE,4.0
558, Constipation, Seizures,5.0
559, Constipation, Upper back pain,1.0
560, Constipation, Pelvic Pain,1.0
561, Constipation, intestinal pain,3.0
562, Constipation, Prostatic pain,1.0
563, Constipation, Nasal congestion,5.0
564, Constipation, Mittelschmerz,1.0
565, Constipation, Back Pain,9.0
566, Constipation, Vertigo,2.0
567, Constipation, uti symptoms,1.0
568, Constipation, Feeling Sick,2.0
569, Constipation, Dull pain,2.0
570, Constipation, Rectal pain,2.0
571, Constipation, Kidney problem,2.0
572, Constipation, digestive problem,3.0
573, Constipation, Muscular stiffness,1.0
574, Constipation, Renal pain,1.0
575, Constipation, Dysuria,1.0
576, Constipation, Excruciating pain,1.0
577, Constipation, gas in stomach,1.0
578, Constipation, Neck Pain,2.0
579, Constipation, Cold sweat,2.0
580, Constipation, Throbbing pain,1.0
581, Constipation, Pain| Burning,4.0
582, Constipation, Acute onset pain,2.0
583, Constipation, Numbness,3.0
584, Constipation, sick to stomach,2.0
585, Constipation, Cardiovascular symptoms,1.0
586, Constipation, Night sweats,1.0
587, Constipation, chest burning,1.0
588, Constipation, Gurgling,2.0
589, Constipation, pain with eating,1.0
590, Constipation, Pain in the coccyx,1.0
591, Constipation, Sighing respiration,1.0
592, Constipation, Gastric spasm,1.0
593, Constipation, Chronic pain,5.0
594, Constipation, Upper abdominal pain,2.0
595, Constipation, Nightmares,3.0
596, Constipation, Imbalance,1.0
597, Constipation, Excessive upper gastrointestinal gas,1.0
598, Constipation, Nausea and vomiting,1.0
599, Constipation, Trembling,1.0
600, Constipation, Blurred vision,4.0
601, Constipation, Hip pain,1.0
602, Constipation, bitter taste,1.0
603, Constipation, Thigh pain,1.0
604, Constipation, back pain mid back,1.0
605, Constipation, Agitation,2.0
606, Constipation, Shooting pain,2.0
607, Constipation, Feeling feverish,1.0
608, Constipation, Symptom Flare Up,1.0
609, Constipation, Actual Discomfort,1.0
610, Constipation, Muscle Weakness,2.0
611, Constipation, Pain in lower limb,1.0
612, Constipation, Withdrawal Symptoms,2.0
613, Constipation, Sciatica,2.0
614, Constipation, Foot pain,2.0
615, Constipation, Scapulalgia,1.0
616, Constipation, Hurting Pain,1.0
617, Constipation, Digestive symptom,2.0
618, Constipation, Earache,1.0
619, Constipation, gas/bloating,1.0
620, Constipation, Abdominal wind pain,3.0
621, Constipation, Pain in right leg,1.0
622, Constipation, Wheezing,1.0
623, Constipation, clogged ear,1.0
624, Constipation, Ankle pain,1.0
625, Constipation, Redness of face,2.0
626, Constipation, Dry cough,1.0
627, Constipation, Unbearable Pain,1.0
628, Constipation, Feeling of loss of feeling,1.0
629, Constipation, laziness,1.0
630, Constipation, Memory Loss,1.0
631, Constipation, weight gain problem,2.0
632, Constipation, Jaw pain,2.0
633, Constipation, Congestion of nasal sinus,1.0
634, Constipation, Diarrhea and vomiting| symptom,1.0
635, Constipation, recurrent muscle twitches,1.0
636, Constipation, Forgetful,1.0
637, Constipation, stomach burning sensation of,1.0
638, Constipation, Neck cramps,1.0
639, Constipation, Muscle Spasticity,1.0
640, Constipation, Feeling Cold,2.0
641, Constipation, General symptom,1.0
642, Constipation, Vertigo| Constant,1.0
643, Constipation, Chronic cough,1.0
644, Constipation, Taste| Metallic,1.0
645, Constipation, electric shock sensation,1.0
646, Constipation, Pain of lymph node,1.0
647, Constipation, Thirsty,3.0
648, Constipation, Urinary symptoms,1.0
649, Constipation, ENT symptoms,1.0
650, Constipation, Skin symptom,1.0
651, Constipation, cold hands & feet,1.0
652, Constipation, Thick skin,1.0
653, Constipation, pain aggravated,1.0
654, Constipation, Colonic Inertia,1.0
655, Constipation, Urgent desire for stool,1.0
656, Constipation, signs and symptoms of ill-defined conditions,1.0
657, Constipation, Breast tenderness,1.0
658, Constipation, sour stomach,1.0
659, Constipation, change,1.0
660, Constipation, Altered bowel function,1.0
661, Constipation, Bladder spasm,1.0
662, Weakness, Headache,71.0
663, Weakness, Chronic constipation,1.0
664, Weakness, Exanthema,15.0
665, Weakness, Pain,153.0
666, Weakness, Pruritus,12.0
667, Weakness, Catch - Finding of sensory dimension of pain,11.0
668, Weakness, Burning sensation,27.0
669, Weakness, Stinging Sensation,5.0
670, Weakness, Abdominal Pain,9.0
671, Weakness, Nausea,56.0
672, Weakness, Cramping sensation quality,4.0
