Postnumber, Diseaseid, DiseaseName3, 'C0032064', 'Plague');
8, 'C0036916', 'Sexually Transmitted Diseases');
96, 'C0036916', 'Sexually Transmitted Diseases');
97, 'C0020538', 'Hypertensive disease');
100, 'C0020538', 'Hypertensive disease');
104, 'C0036916', 'Sexually Transmitted Diseases');
105, 'C0036916', 'Sexually Transmitted Diseases');
106, 'C0036916', 'Sexually Transmitted Diseases');
107, 'C0036916', 'Sexually Transmitted Diseases');
108, 'C0036916', 'Sexually Transmitted Diseases');
109, 'C0036916', 'Sexually Transmitted Diseases');
110, 'C0036916', 'Sexually Transmitted Diseases');
111, 'C0036916', 'Sexually Transmitted Diseases');
112, 'C0036916', 'Sexually Transmitted Diseases');
113, 'C0019340', 'herpes');
117, 'C0340293', 'Anterior myocardial infarction');
118, 'C0020443', 'Hypercholesterolemia');
123, 'C0032064', 'Plague');
127, 'C0856619', 'sexual problem');
128, 'C0036916', 'Sexually Transmitted Diseases');
129, 'C0004135', 'Ataxia Telangiectasia');
130, 'C0036916', 'Sexually Transmitted Diseases');
131, 'C0036916', 'Sexually Transmitted Diseases');
132, 'C0036916', 'Sexually Transmitted Diseases');
133, 'C0036916', 'Sexually Transmitted Diseases');
134, 'C0004135', 'Ataxia Telangiectasia');
135, 'C1836672', 'Total Hypotrichosis| Mari type');
140, 'C0018213', 'Graves Disease');
141, 'C0018790', 'Cardiac Arrest');
143, 'C0027051', 'Myocardial Infarction');
144, 'C0027051', 'Myocardial Infarction');
146, 'C0027051', 'Myocardial Infarction');
148, 'C0036916', 'Sexually Transmitted Diseases');
149, 'C0036916', 'Sexually Transmitted Diseases');
150, 'C0036916', 'Sexually Transmitted Diseases');
152, 'C0036916', 'Sexually Transmitted Diseases');
153, 'C0036916', 'Sexually Transmitted Diseases');
158, 'C0041912', 'Upper Respiratory Infections');
160, 'C0011849', 'Diabetes Mellitus');
161, 'C0027051', 'Myocardial Infarction');
164, 'C0027051', 'Myocardial Infarction');
166, 'C0027051', 'Myocardial Infarction');
167, 'C0040921', 'Trichomonas Infections');
168, 'C0036916', 'Sexually Transmitted Diseases');
169, 'C0036916', 'Sexually Transmitted Diseases');
170, 'C3542022', 'SHORT STATURE| ONYCHODYSPLASIA| FACIAL DYSMORPHISM| AND HYPOTRICHOSIS SYNDROME');
171, 'C0036916', 'Sexually Transmitted Diseases');
172, 'C0036916', 'Sexually Transmitted Diseases');
173, 'C0036916', 'Sexually Transmitted Diseases');
174, 'C0037856', 'Spermatic Cord Torsion');
176, 'C0036916', 'Sexually Transmitted Diseases');
181, 'C0027051', 'Myocardial Infarction');
184, 'C0012634', 'Disease');
185, 'C0036916', 'Sexually Transmitted Diseases');
186, 'C0036916', 'Sexually Transmitted Diseases');
187, 'C0036916', 'Sexually Transmitted Diseases');
188, 'C0036916', 'Sexually Transmitted Diseases');
189, 'C0036916', 'Sexually Transmitted Diseases');
190, 'C0036916', 'Sexually Transmitted Diseases');
191, 'C0039082', 'Syndrome');
192, 'C0036916', 'Sexually Transmitted Diseases');
193, 'C0038454', 'Cerebrovascular accident');
196, 'C1273976', 'First myocardial infarction');
197, 'C0242350', 'Erectile dysfunction');
198, 'C0036916', 'Sexually Transmitted Diseases');
200, 'C0036916', 'Sexually Transmitted Diseases');
201, 'C0018799', 'Heart Diseases');
202, 'C0036916', 'Sexually Transmitted Diseases');
203, 'C0036916', 'Sexually Transmitted Diseases');
204, 'C0020538', 'Hypertensive disease');
205, 'C0036916', 'Sexually Transmitted Diseases');
206, 'C0036916', 'Sexually Transmitted Diseases');
207, 'C0036916', 'Sexually Transmitted Diseases');
208, 'C0036916', 'Sexually Transmitted Diseases');
209, 'C0036916', 'Sexually Transmitted Diseases');
210, 'C0036916', 'Sexually Transmitted Diseases');
211, 'C0036916', 'Sexually Transmitted Diseases');
212, 'C0036916', 'Sexually Transmitted Diseases');
214, 'C0149745', 'Oral Ulcer');
215, 'C0036916', 'Sexually Transmitted Diseases');
224, 'C0265514', 'Dermatofibrosis lenticularis disseminata');
226, 'C0018799', 'Heart Diseases');
227, 'C0020538', 'Hypertensive disease');
230, 'C0036916', 'Sexually Transmitted Diseases');
231, 'C0036916', 'Sexually Transmitted Diseases');
233, 'C0152020', 'Gastroparesis');
234, 'C0162429', 'Malnutrition');
235, 'C0036916', 'Sexually Transmitted Diseases');
239, 'C0277525', 'Infectious gastroenteritis');
246, 'C0036916', 'Sexually Transmitted Diseases');
247, 'C0036916', 'Sexually Transmitted Diseases');
248, 'C0036916', 'Sexually Transmitted Diseases');
249, 'C0036916', 'Sexually Transmitted Diseases');
250, 'C0036916', 'Sexually Transmitted Diseases');
251, 'C0036916', 'Sexually Transmitted Diseases');
252, 'C0036916', 'Sexually Transmitted Diseases');
255, 'C0012813', 'Diverticulitis');
256, 'C0022104', 'Irritable Bowel Syndrome');
258, 'C0017168', 'Gastroesophageal reflux disease');
259, 'C0036689', 'Streptococcal sore throat');
260, 'C0009663', 'Condylomata Acuminata');
261, 'C0036916', 'Sexually Transmitted Diseases');
262, 'C0036916', 'Sexually Transmitted Diseases');
263, 'C0019112', 'Hemorrhoids');
264, 'C0036916', 'Sexually Transmitted Diseases');
265, 'C0036916', 'Sexually Transmitted Diseases');
266, 'C0036916', 'Sexually Transmitted Diseases');
267, 'C0036916', 'Sexually Transmitted Diseases');
268, 'C0036916', 'Sexually Transmitted Diseases');
269, 'C0036916', 'Sexually Transmitted Diseases');
274, 'C0017168', 'Gastroesophageal reflux disease');
275, 'C0004135', 'Ataxia Telangiectasia');
276, 'C0277525', 'Infectious gastroenteritis');
277, 'C0036916', 'Sexually Transmitted Diseases');
278, 'C0877478', 'bumps lip');
279, 'C0004135', 'Ataxia Telangiectasia');
280, 'C0036916', 'Sexually Transmitted Diseases');
281, 'C0036916', 'Sexually Transmitted Diseases');
282, 'C0009663', 'Condylomata Acuminata');
283, 'C0036916', 'Sexually Transmitted Diseases');
285, 'C0036916', 'Sexually Transmitted Diseases');
286, 'C0036916', 'Sexually Transmitted Diseases');
290, 'C0017168', 'Gastroesophageal reflux disease');
291, 'C0036916', 'Sexually Transmitted Diseases');
292, 'C0029405', 'Osteitis Fibrosa Cystica');
293, 'C0036916', 'Sexually Transmitted Diseases');
294, 'C0012634', 'Disease');
295, 'C0036916', 'Sexually Transmitted Diseases');
296, 'C0041834', 'Erythema');
297, 'C0042341', 'Varicocele');
298, 'C0036916', 'Sexually Transmitted Diseases');
299, 'C0036916', 'Sexually Transmitted Diseases');
300, 'C0036916', 'Sexually Transmitted Diseases');
301, 'C0036916', 'Sexually Transmitted Diseases');
302, 'C0036916', 'Sexually Transmitted Diseases');
306, 'C0022104', 'Irritable Bowel Syndrome');
307, 'C0036916', 'Sexually Transmitted Diseases');
309, 'C0022104', 'Irritable Bowel Syndrome');
311, 'C0036916', 'Sexually Transmitted Diseases');
312, 'C0036916', 'Sexually Transmitted Diseases');
313, 'C0009450', 'Communicable Diseases');
314, 'C0036916', 'Sexually Transmitted Diseases');
315, 'C0036916', 'Sexually Transmitted Diseases');
318, 'C0036916', 'Sexually Transmitted Diseases');
319, 'C0036916', 'Sexually Transmitted Diseases');
320, 'C0021167', 'Incontinence');
322, 'C0036916', 'Sexually Transmitted Diseases');
323, 'C0036916', 'Sexually Transmitted Diseases');
325, 'C0036916', 'Sexually Transmitted Diseases');
327, 'C0009450', 'Communicable Diseases');
328, 'C0036916', 'Sexually Transmitted Diseases');
329, 'C0036916', 'Sexually Transmitted Diseases');
330, 'C0019693', 'HIV Infections');
331, 'C0036916', 'Sexually Transmitted Diseases');
332, 'C0036916', 'Sexually Transmitted Diseases');
333, 'C0036916', 'Sexually Transmitted Diseases');
334, 'C0036916', 'Sexually Transmitted Diseases');
335, 'C0009450', 'Communicable Diseases');
342, 'C0022104', 'Irritable Bowel Syndrome');
344, 'C0277556', 'Recurrent disease');
345, 'C0017152', 'Gastritis');
346, 'C0036916', 'Sexually Transmitted Diseases');
347, 'C0036916', 'Sexually Transmitted Diseases');
348, 'C0036916', 'Sexually Transmitted Diseases');
349, 'C0019348', 'Herpes Simplex Infections');
350, 'C0036916', 'Sexually Transmitted Diseases');
352, 'C0036916', 'Sexually Transmitted Diseases');
354, 'C0036916', 'Sexually Transmitted Diseases');
355, 'C0036916', 'Sexually Transmitted Diseases');
356, 'C1535939', 'Pneumocystis jiroveci pneumonia');
357, 'C0017152', 'Gastritis');
358, 'C0036916', 'Sexually Transmitted Diseases');
359, 'C0036916', 'Sexually Transmitted Diseases');
363, 'C0017168', 'Gastroesophageal reflux disease');
364, 'C0036916', 'Sexually Transmitted Diseases');
366, 'C0009319', 'Colitis');
367, 'C0019112', 'Hemorrhoids');
368, 'C0036916', 'Sexually Transmitted Diseases');
370, 'C0036916', 'Sexually Transmitted Diseases');
371, 'C0036916', 'Sexually Transmitted Diseases');
372, 'C0019112', 'Hemorrhoids');
373, 'C0036916', 'Sexually Transmitted Diseases');
374, 'C0011119', 'Decompression Sickness');
376, 'C0036916', 'Sexually Transmitted Diseases');
378, 'C0012634', 'Disease');
380, 'C0022104', 'Irritable Bowel Syndrome');
387, 'C0017168', 'Gastroesophageal reflux disease');
388, 'C0036916', 'Sexually Transmitted Diseases');
389, 'C0036916', 'Sexually Transmitted Diseases');
390, 'C0036916', 'Sexually Transmitted Diseases');
391, 'C0036916', 'Sexually Transmitted Diseases');
392, 'C0036916', 'Sexually Transmitted Diseases');
393, 'C0036916', 'Sexually Transmitted Diseases');
394, 'C0036916', 'Sexually Transmitted Diseases');
395, 'C0016436', 'Folliculitis');
396, 'C0345996', 'Milium Cyst');
397, 'C0036916', 'Sexually Transmitted Diseases');
398, 'C0036916', 'Sexually Transmitted Diseases');
399, 'C0036916', 'Sexually Transmitted Diseases');
401, 'C0036916', 'Sexually Transmitted Diseases');
407, 'C0017168', 'Gastroesophageal reflux disease');
408, 'C0272285', 'Heparin-induced thrombocytopenia');
409, 'C0036916', 'Sexually Transmitted Diseases');
410, 'C0036916', 'Sexually Transmitted Diseases');
411, 'C0036916', 'Sexually Transmitted Diseases');
412, 'C0036916', 'Sexually Transmitted Diseases');
413, 'C0036916', 'Sexually Transmitted Diseases');
414, 'C0006849', 'Oral candidiasis');
415, 'C0036916', 'Sexually Transmitted Diseases');
416, 'C0019360', 'Herpes zoster disease');
419, 'C0149931', 'Migraine Disorders');
423, 'C0041582', 'Ulcer');
424, 'C0036916', 'Sexually Transmitted Diseases');
425, 'C0036916', 'Sexually Transmitted Diseases');
426, 'C0036916', 'Sexually Transmitted Diseases');
428, 'C0020456', 'Hyperglycemia');
429, 'C0012634', 'Disease');
431, 'C0036916', 'Sexually Transmitted Diseases');
432, 'C0017168', 'Gastroesophageal reflux disease');
433, 'C0036916', 'Sexually Transmitted Diseases');
434, 'C0001175', 'Acquired Immunodeficiency Syndrome');
435, 'C0036916', 'Sexually Transmitted Diseases');
436, 'C0036916', 'Sexually Transmitted Diseases');
442, 'C0036916', 'Sexually Transmitted Diseases');
446, 'C0036262', 'Scabies');
448, 'C0400979', 'Obstruction of biliary tree');
449, 'C0017168', 'Gastroesophageal reflux disease');
451, 'C0004135', 'Ataxia Telangiectasia');
455, 'C0036916', 'Sexually Transmitted Diseases');
456, 'C0036916', 'Sexually Transmitted Diseases');
457, 'C0036916', 'Sexually Transmitted Diseases');
458, 'C0036916', 'Sexually Transmitted Diseases');
459, 'C0730321', 'Punctate inner choroidopathy');
465, 'C0012634', 'Disease');
468, 'C0016167', 'Anal Fissure');
469, 'C0036916', 'Sexually Transmitted Diseases');
470, 'C0036916', 'Sexually Transmitted Diseases');
471, 'C0268621', 'Hepatic methionine adenosyltransferase deficiency');
472, 'C0036916', 'Sexually Transmitted Diseases');
473, 'C0175969', 'incurable diseases');
474, 'C0036916', 'Sexually Transmitted Diseases');
475, 'C0036916', 'Sexually Transmitted Diseases');
476, 'C0036916', 'Sexually Transmitted Diseases');
477, 'C0036916', 'Sexually Transmitted Diseases');
480, 'C0017168', 'Gastroesophageal reflux disease');
481, 'C0947751', 'vascular inflammations');
483, 'C3495801', 'Granulomatosis with polyangiitis');
487, 'C0036916', 'Sexually Transmitted Diseases');
489, 'C0877478', 'bumps lip');
490, 'C0036916', 'Sexually Transmitted Diseases');
491, 'C0036916', 'Sexually Transmitted Diseases');
492, 'C0019340', 'herpes');
493, 'C3539909', 'Allergic disposition');
494, 'C0019342', 'Genital Herpes');
496, 'C0004135', 'Ataxia Telangiectasia');
497, 'C0036916', 'Sexually Transmitted Diseases');
499, 'C0036916', 'Sexually Transmitted Diseases');
507, 'C0036916', 'Sexually Transmitted Diseases');
508, 'C0036916', 'Sexually Transmitted Diseases');
509, 'C0036916', 'Sexually Transmitted Diseases');
510, 'C0036916', 'Sexually Transmitted Diseases');
512, 'C0004135', 'Ataxia Telangiectasia');
513, 'C0036916', 'Sexually Transmitted Diseases');
515, 'C0019340', 'herpes');
516, 'C0016842', 'Congenital pectus excavatum');
517, 'C0036916', 'Sexually Transmitted Diseases');
519, 'C0036916', 'Sexually Transmitted Diseases');
520, 'C0036916', 'Sexually Transmitted Diseases');
521, 'C0019340', 'herpes');
526, 'C0086227', 'Enterobiasis');
529, 'C0149696', 'Food intolerance530, 'C0036916', 'Sexually Transmitted Diseases');
531, 'C0036916', 'Sexually Transmitted Diseases');
534, 'C0019340', 'herpes');
535, 'C0036916', 'Sexually Transmitted Diseases');
536, 'C0036916', 'Sexually Transmitted Diseases');
537, 'C0010709', 'Cyst');
539, 'C0036916', 'Sexually Transmitted Diseases');
543, 'C0035086', 'Renal Osteodystrophy');
544, 'C0017152', 'Gastritis');
545, 'C0002871', 'Anemia');
549, 'C0175697', 'Van der Woude syndrome');
550, 'C0017168', 'Gastroesophageal reflux disease');
551, 'C0036916', 'Sexually Transmitted Diseases');
552, 'C0036916', 'Sexually Transmitted Diseases');
553, 'C0036916', 'Sexually Transmitted Diseases');
554, 'C0036916', 'Sexually Transmitted Diseases');
555, 'C0036916', 'Sexually Transmitted Diseases');
556, 'C0036916', 'Sexually Transmitted Diseases');
557, 'C0036916', 'Sexually Transmitted Diseases');
558, 'C0036916', 'Sexually Transmitted Diseases');
560, 'C0036916', 'Sexually Transmitted Diseases');
561, 'C0036916', 'Sexually Transmitted Diseases');
563, 'C0017168', 'Gastroesophageal reflux disease');
564, 'C1510475', 'Diverticulosis');
569, 'C0015695', 'Fatty Liver');
570, 'C0007570', 'Celiac Disease');
572, 'C0036916', 'Sexually Transmitted Diseases');
573, 'C0036916', 'Sexually Transmitted Diseases');
574, 'C0036916', 'Sexually Transmitted Diseases');
575, 'C0036916', 'Sexually Transmitted Diseases');
576, 'C0036916', 'Sexually Transmitted Diseases');
577, 'C0036916', 'Sexually Transmitted Diseases');
578, 'C0017168', 'Gastroesophageal reflux disease');
579, 'C0036916', 'Sexually Transmitted Diseases');
580, 'C0036916', 'Sexually Transmitted Diseases');
581, 'C0036916', 'Sexually Transmitted Diseases');
582, 'C0036916', 'Sexually Transmitted Diseases');
583, 'C0086227', 'Enterobiasis');
590, 'C0036916', 'Sexually Transmitted Diseases');
592, 'C0036916', 'Sexually Transmitted Diseases');
593, 'C0036916', 'Sexually Transmitted Diseases');
594, 'C0036916', 'Sexually Transmitted Diseases');
595, 'C0036916', 'Sexually Transmitted Diseases');
596, 'C0036916', 'Sexually Transmitted Diseases');
597, 'C0036916', 'Sexually Transmitted Diseases');
598, 'C0036916', 'Sexually Transmitted Diseases');
599, 'C0036916', 'Sexually Transmitted Diseases');
600, 'C0036916', 'Sexually Transmitted Diseases');
601, 'C0036916', 'Sexually Transmitted Diseases');
602, 'C0085166', 'Bacterial Vaginosis');
605, 'C0086227', 'Enterobiasis');
607, 'C0035078', 'Kidney Failure');
618, 'C0036916', 'Sexually Transmitted Diseases');
619, 'C0036916', 'Sexually Transmitted Diseases');
620, 'C0036916', 'Sexually Transmitted Diseases');
621, 'C0036916', 'Sexually Transmitted Diseases');
622, 'C0270814', 'Spastic syndrome');
623, 'C0036916', 'Sexually Transmitted Diseases');
624, 'C0036916', 'Sexually Transmitted Diseases');
626, 'C0036916', 'Sexually Transmitted Diseases');
632, 'C0004099', 'Asthma| Exercise-Induced');
636, 'C0036916', 'Sexually Transmitted Diseases');
637, 'C0036916', 'Sexually Transmitted Diseases');
638, 'C0016436', 'Folliculitis');
640, 'C0238190', 'Inclusion Body Myositis641, 'C0004135', 'Ataxia Telangiectasia');
642, 'C0036916', 'Sexually Transmitted Diseases');
646, 'C0030305', 'Pancreatitis');
648, 'C0012634', 'Disease');
649, 'C1535939', 'Pneumocystis jiroveci pneumonia');
650, 'C0036916', 'Sexually Transmitted Diseases');
652, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
653, 'C0016436', 'Folliculitis');
654, 'C0036916', 'Sexually Transmitted Diseases');
655, 'C0036916', 'Sexually Transmitted Diseases');
656, 'C0036916', 'Sexually Transmitted Diseases');
657, 'C0036916', 'Sexually Transmitted Diseases');
658, 'C0036916', 'Sexually Transmitted Diseases');
659, 'C0012813', 'Diverticulitis');
661, 'C0017168', 'Gastroesophageal reflux disease');
662, 'C0019340', 'herpes');
663, 'C0036916', 'Sexually Transmitted Diseases');
664, 'C0036916', 'Sexually Transmitted Diseases');
665, 'C0004626', 'Pneumonia| Bacterial');
669, 'C0162311', 'Androgenetic Alopecia');
670, 'C0270814', 'Spastic syndrome');
674, 'C0022104', 'Irritable Bowel Syndrome');
676, 'C0019342', 'Genital Herpes');
677, 'C0036916', 'Sexually Transmitted Diseases');
678, 'C0750466', 'Yeast infection');
679, 'C0268621', 'Hepatic methionine adenosyltransferase deficiency');
680, 'C0036916', 'Sexually Transmitted Diseases');
683, 'C3542022', 'SHORT STATURE| ONYCHODYSPLASIA| FACIAL DYSMORPHISM| AND HYPOTRICHOSIS SYNDROME');
686, 'C0036916', 'Sexually Transmitted Diseases');
687, 'C0036916', 'Sexually Transmitted Diseases');
691, 'C0267963', 'Exocrine pancreatic insufficiency');
693, 'C0036916', 'Sexually Transmitted Diseases');
694, 'C0036916', 'Sexually Transmitted Diseases');
696, 'C0036916', 'Sexually Transmitted Diseases');
698, 'C0019340', 'herpes');
699, 'C0002170', 'Alopecia');
700, 'C0036916', 'Sexually Transmitted Diseases');
701, 'C0036916', 'Sexually Transmitted Diseases');
702, 'C0004135', 'Ataxia Telangiectasia');
704, 'C0009663', 'Condylomata Acuminata');
705, 'C0019345', 'Herpes Labialis');
706, 'C0036916', 'Sexually Transmitted Diseases');
709, 'C0015695', 'Fatty Liver');
715, 'C0036916', 'Sexually Transmitted Diseases');
716, 'C0012634', 'Disease');
717, 'C0036916', 'Sexually Transmitted Diseases');
718, 'C0036916', 'Sexually Transmitted Diseases');
719, 'C0036916', 'Sexually Transmitted Diseases');
720, 'C0036916', 'Sexually Transmitted Diseases');
721, 'C0036916', 'Sexually Transmitted Diseases');
725, 'C0041582', 'Ulcer');
729, 'C1630648', 'Propensity to adverse reactions to food');
730, 'C0022104', 'Irritable Bowel Syndrome');
732, 'C0036916', 'Sexually Transmitted Diseases');
733, 'C0036916', 'Sexually Transmitted Diseases');
734, 'C0036916', 'Sexually Transmitted Diseases');
735, 'C0036916', 'Sexually Transmitted Diseases');
736, 'C0036916', 'Sexually Transmitted Diseases');
738, 'C0036916', 'Sexually Transmitted Diseases');
739, 'C0036916', 'Sexually Transmitted Diseases');
740, 'C0036916', 'Sexually Transmitted Diseases');
741, 'C0036916', 'Sexually Transmitted Diseases');
742, 'C0036916', 'Sexually Transmitted Diseases');
743, 'C0036916', 'Sexually Transmitted Diseases');
744, 'C0036916', 'Sexually Transmitted Diseases');
745, 'C0022104', 'Irritable Bowel Syndrome');
747, 'C0017168', 'Gastroesophageal reflux disease');
748, 'C0333291', 'Bleeding ulcer');
750, 'C0017168', 'Gastroesophageal reflux disease');
751, 'C0017168', 'Gastroesophageal reflux disease');
752, 'C0009450', 'Communicable Diseases');
753, 'C0019112', 'Hemorrhoids');
754, 'C0036916', 'Sexually Transmitted Diseases');
755, 'C0036916', 'Sexually Transmitted Diseases');
756, 'C0036916', 'Sexually Transmitted Diseases');
757, 'C0036916', 'Sexually Transmitted Diseases');
758, 'C0036916', 'Sexually Transmitted Diseases');
759, 'C0036916', 'Sexually Transmitted Diseases');
760, 'C0178829', 'reproductive system disorder');
761, 'C0036916', 'Sexually Transmitted Diseases');
762, 'C0268621', 'Hepatic methionine adenosyltransferase deficiency');
763, 'C0152021', 'Congenital heart disease');
764, 'C0036916', 'Sexually Transmitted Diseases');
766, 'C0036916', 'Sexually Transmitted Diseases');
767, 'C0036916', 'Sexually Transmitted Diseases');
768, 'C0235394', 'Wasting');
769, 'C0036916', 'Sexually Transmitted Diseases');
770, 'C0022104', 'Irritable Bowel Syndrome');
774, 'C0017168', 'Gastroesophageal reflux disease');
775, 'C0036916', 'Sexually Transmitted Diseases');
776, 'C0036916', 'Sexually Transmitted Diseases');
777, 'C0036916', 'Sexually Transmitted Diseases');
778, 'C0036916', 'Sexually Transmitted Diseases');
779, 'C0036916', 'Sexually Transmitted Diseases');
780, 'C0036916', 'Sexually Transmitted Diseases');
781, 'C0036916', 'Sexually Transmitted Diseases');
782, 'C0036916', 'Sexually Transmitted Diseases');
783, 'C0011119', 'Decompression Sickness');
784, 'C0018081', 'Gonorrhea');
785, 'C0036916', 'Sexually Transmitted Diseases');
786, 'C0012634', 'Disease');
790, 'C0041912', 'Upper Respiratory Infections');
794, 'C0019112', 'Hemorrhoids');
798, 'C0010346', 'Crohn Disease');
800, 'C0022104', 'Irritable Bowel Syndrome');
802, 'C0019345', 'Herpes Labialis');
803, 'C0036916', 'Sexually Transmitted Diseases');
804, 'C0036916', 'Sexually Transmitted Diseases');
805, 'C0036916', 'Sexually Transmitted Diseases');
806, 'C0036916', 'Sexually Transmitted Diseases');
807, 'C0016065', 'Polyostotic fibrous dysplasia');
809, 'C0022104', 'Irritable Bowel Syndrome');
811, 'C0010346', 'Crohn Disease');
812, 'C0036916', 'Sexually Transmitted Diseases');
813, 'C0036916', 'Sexually Transmitted Diseases');
814, 'C0036916', 'Sexually Transmitted Diseases');
815, 'C0036916', 'Sexually Transmitted Diseases');
816, 'C2676739', 'Chromosome 2q32-Q33 Deletion Syndrome');
817, 'C0036916', 'Sexually Transmitted Diseases');
818, 'C0036916', 'Sexually Transmitted Diseases');
819, 'C0036916', 'Sexually Transmitted Diseases');
820, 'C0036916', 'Sexually Transmitted Diseases');
821, 'C0036916', 'Sexually Transmitted Diseases');
822, 'C0014848', 'Esophageal Achalasia');
823, 'C0017152', 'Gastritis');
824, 'C0003615', 'Appendicitis');
825, 'C0747919', 'pregnancy related');
826, 'C0017168', 'Gastroesophageal reflux disease');
832, 'C3542022', 'SHORT STATURE| ONYCHODYSPLASIA| FACIAL DYSMORPHISM| AND HYPOTRICHOSIS SYNDROME');
839, 'C0009450', 'Communicable Diseases');
840, 'C0036916', 'Sexually Transmitted Diseases');
841, 'C0019345', 'Herpes Labialis');
842, 'C0041834', 'Erythema');
843, 'C0036916', 'Sexually Transmitted Diseases');
844, 'C0036916', 'Sexually Transmitted Diseases');
845, 'C0036916', 'Sexually Transmitted Diseases');
846, 'C0036916', 'Sexually Transmitted Diseases');
847, 'C0036916', 'Sexually Transmitted Diseases');
848, 'C0036916', 'Sexually Transmitted Diseases');
849, 'C0036916', 'Sexually Transmitted Diseases');
851, 'C0017168', 'Gastroesophageal reflux disease');
854, 'C0022104', 'Irritable Bowel Syndrome');
860, 'C0036916', 'Sexually Transmitted Diseases');
861, 'C0009450', 'Communicable Diseases');
865, 'C0036916', 'Sexually Transmitted Diseases');
866, 'C0036916', 'Sexually Transmitted Diseases');
867, 'C0036916', 'Sexually Transmitted Diseases');
873, 'C0036916', 'Sexually Transmitted Diseases');
875, 'C0036916', 'Sexually Transmitted Diseases');
880, 'C0036916', 'Sexually Transmitted Diseases');
881, 'C0036916', 'Sexually Transmitted Diseases');
882, 'C0036916', 'Sexually Transmitted Diseases');
883, 'C0036916', 'Sexually Transmitted Diseases');
884, 'C0036916', 'Sexually Transmitted Diseases');
885, 'C0036916', 'Sexually Transmitted Diseases');
886, 'C0036916', 'Sexually Transmitted Diseases');
887, 'C0036916', 'Sexually Transmitted Diseases');
888, 'C0036916', 'Sexually Transmitted Diseases');
889, 'C0008350', 'Cholelithiasis');
890, 'C0036916', 'Sexually Transmitted Diseases');
891, 'C0036916', 'Sexually Transmitted Diseases');
892, 'C1535939', 'Pneumocystis jiroveci pneumonia');
893, 'C0036916', 'Sexually Transmitted Diseases');
895, 'C0036916', 'Sexually Transmitted Diseases');
896, 'C0036916', 'Sexually Transmitted Diseases');
898, 'C0036916', 'Sexually Transmitted Diseases');
908, 'C0041912', 'Upper Respiratory Infections');
912, 'C0041912', 'Upper Respiratory Infections');
913, 'C0036916', 'Sexually Transmitted Diseases');
914, 'C0036916', 'Sexually Transmitted Diseases');
915, 'C0036916', 'Sexually Transmitted Diseases');
916, 'C0036916', 'Sexually Transmitted Diseases');
917, 'C0036916', 'Sexually Transmitted Diseases');
919, 'C0017168', 'Gastroesophageal reflux disease');
