PostNumber, DiseaseId, DiseaseName, SymptomId, SymptomName, TreatmentId, TreatmentName, DrugId, DrugName, BodypartId, BodypartName3, 'C0032064', 'Plague', '', '', '', '', '', '', '', '
3, 'C0032064', 'Plague', 'C0221423', 'Illness3, 'C0032064', 'Plague', 'C0011991', 'Diarrhea', '', '', '', '', '', '
3, 'C0032064', 'Plague', 'C0009806', 'Constipation', '', '', '', '', '', '
54, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1550261', 'Glans
54, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227952', 'Foreskin of penis
54, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280739', 'Entire penis
55, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME', '', '', '', '', '', '', '', '
56, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
56, 'C0036916', 'Sexually Transmitted Diseases', 'C0011991', 'Diarrhea', '', '', '', '', '', '
56, 'C0036916', 'Sexually Transmitted Diseases', 'C0000737', 'Abdominal Pain', '', '', '', '', '', '
56, 'C0036916', 'Sexually Transmitted Diseases', 'C0085624', 'Burning sensation', '', '', '', '', '', '
56, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0087111', 'Therapeutic procedure', '', '', '', '
57, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
57, 'C0036916', 'Sexually Transmitted Diseases', 'C0085624', 'Burning sensation', '', '', '', '', '', '
57, 'C0036916', 'Sexually Transmitted Diseases', 'C0033774', 'Pruritus', '', '', '', '', '', '
57, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
57, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0087111', 'Therapeutic procedure', '', '', '', '
57, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0042232', 'Vagina
58, 'C0019112', 'Hemorrhoids', '', '', '', '', '', '', '', '
58, 'C0019112', 'Hemorrhoids', '', '', 'C0152277', 'Incision and drainage', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', '', '', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C0679309', 'physical symptom', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C0557875', 'Tired', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C0000737', 'Abdominal Pain', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C0027497', 'Nausea', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C0015672', 'Fatigue', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C0497406', 'Overweight', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C1291077', 'Abdominal bloating', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C0033774', 'Pruritus', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', 'C0231528', 'Myalgia', '', '', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', '', '', 'C0311164', 'Vegetarian diet', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', '', '', 'C0013806', 'Electroconvulsive Therapy', '', '', '', '
69, 'C0023890', 'Liver Cirrhosis', '', '', '', '', '', '', 'C0023884', 'Liver
70, 'C0009443', 'Common Cold', '', '', '', '', '', '', '', '
70, 'C0009443', 'Common Cold', 'C0027497', 'Nausea', '', '', '', '', '', '
70, 'C0009443', 'Common Cold', 'C0015672', 'Fatigue', '', '', '', '', '', '
70, 'C0009443', 'Common Cold', 'C0010200', 'Coughing', '', '', '', '', '', '
70, 'C0009443', 'Common Cold', 'C0234233', 'Sore to touch', '', '', '', '', '', '
70, 'C0009443', 'Common Cold', '', '', 'C0204558', 'Group reassurance', '', '', '', '
70, 'C0009443', 'Common Cold', '', '', 'C1293134', 'Enlargement procedure', '', '', '', '
70, 'C0009443', 'Common Cold', '', '', '', '', '', '', 'C1278932', 'Entire spleen
70, 'C0009443', 'Common Cold', '', '', '', '', '', '', 'C0024204', 'lymph nodes
70, 'C0009443', 'Common Cold', '', '', '', '', '', '', 'C0229867', 'Right faucial tonsil structure
72, 'C0022104', 'Irritable Bowel Syndrome', '', '', '', '', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', 'C0011991', 'Diarrhea', '', '', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', 'C0849850', 'blotch', '', '', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', 'C0009806', 'Constipation', '', '', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', 'C0596601', 'gastrointestinal gas', '', '', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', 'C1443924', 'Severe diarrhea', '', '', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', 'C0235309', 'Upset stomach', '', '', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', 'C1291077', 'Abdominal bloating', '', '', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', 'C0344375', 'Stomach cramps72, 'C0022104', 'Irritable Bowel Syndrome', '', '', 'C3687832', 'DRUGS', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', '', '', 'C0152277', 'Incision and drainage', '', '', '', '
72, 'C0022104', 'Irritable Bowel Syndrome', '', '', '', '', '', '', 'C1278920', 'Entire stomach
72, 'C0022104', 'Irritable Bowel Syndrome', '', '', '', '', '', '', 'C1563093', 'Distal intermedial ridge of tibia
72, 'C0022104', 'Irritable Bowel Syndrome', '', '', '', '', '', '', 'C2986716', 'Quarter of the Udder
73, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
73, 'C0036916', 'Sexually Transmitted Diseases', 'C0007939', 'Syphilitic chancre', '', '', '', '', '', '
73, 'C0036916', 'Sexually Transmitted Diseases', 'C0392171', 'Influenza-like symptoms', '', '', '', '', '', '
73, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0021485', 'Injection of therapeutic agent', '', '', '', '
73, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152054', 'Therapeutic tactile stimulation', '', '', '', '
73, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
74, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
74, 'C0036916', 'Sexually Transmitted Diseases', 'C0033774', 'Pruritus', '', '', '', '', '', '
74, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281590', 'Entire head
74, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227936', 'Body of penis
75, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
75, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227936', 'Body of penis
76, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
76, 'C0036916', 'Sexually Transmitted Diseases', 'C1260880', 'Rhinorrhea', '', '', '', '', '', '
76, 'C0036916', 'Sexually Transmitted Diseases', 'C0033774', 'Pruritus', '', '', '', '', '', '
76, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0557033', 'Reminding', '', '', '', '
76, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0021107', 'Implantation procedure', '', '', '', '
77, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
77, 'C0036916', 'Sexually Transmitted Diseases', 'C0231218', 'Malaise', '', '', '', '', '', '
77, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281584', 'Entire finger
77, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227997', 'Structure of right testis
77, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281583', 'Entire hand
80, 'C0730321', 'Punctate inner choroidopathy', '', '', '', '', '', '', '', '
80, 'C0730321', 'Punctate inner choroidopathy', 'C0015230', 'Exanthema', '', '', '', '', '', '
80, 'C0730321', 'Punctate inner choroidopathy', 'C0033774', 'Pruritus', '', '', '', '', '', '
80, 'C0730321', 'Punctate inner choroidopathy', 'C0030193', 'Pain', '', '', '', '', '', '
80, 'C0730321', 'Punctate inner choroidopathy', '', '', 'C0038280', 'Sterilization for infection control', '', '', '', '
80, 'C0730321', 'Punctate inner choroidopathy', '', '', '', '', '', '', 'C0030851', 'penis
81, 'C0019340', 'herpes', '', '', '', '', '', '', '', '
83, 'C0004238', 'Atrial Fibrillation', '', '', '', '', '', '', '', '
83, 'C0004238', 'Atrial Fibrillation', '', '', 'C0184661', 'Interventional procedure', '', '', '', '
83, 'C0004238', 'Atrial Fibrillation', '', '', 'C0162563', 'Cardiac ablation', '', '', '', '
83, 'C0004238', 'Atrial Fibrillation', '', '', 'C0547070', 'Ablation', '', '', '', '
84, 'C1395831', 'pressure area', '', '', '', '', '', '', '', '
84, 'C1395831', 'pressure area', 'C0030193', 'Pain', '', '', '', '', '', '
84, 'C1395831', 'pressure area', 'C1321898', 'Blood in stool', '', '', '', '', '', '
84, 'C1395831', 'pressure area', '', '', 'C0152060', 'Transection86, 'C0004135', 'Ataxia Telangiectasia', '', '', '', '', '', '', '', '
86, 'C0004135', 'Ataxia Telangiectasia', 'C0011991', 'Diarrhea', '', '', '', '', '', '
86, 'C0004135', 'Ataxia Telangiectasia', 'C0009806', 'Constipation', '', '', '', '', '', '
86, 'C0004135', 'Ataxia Telangiectasia', 'C0596601', 'gastrointestinal gas', '', '', '', '', '', '
86, 'C0004135', 'Ataxia Telangiectasia', 'C0027497', 'Nausea', '', '', '', '', '', '
86, 'C0004135', 'Ataxia Telangiectasia', 'C1291077', 'Abdominal bloating', '', '', '', '', '', '
86, 'C0004135', 'Ataxia Telangiectasia', 'C0030193', 'Pain', '', '', '', '', '', '
89, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
89, 'C0036916', 'Sexually Transmitted Diseases', 'C0033774', 'Pruritus', '', '', '', '', '', '
89, 'C0036916', 'Sexually Transmitted Diseases', 'C0011124', 'Decreased Libido', '', '', '', '', '', '
89, 'C0036916', 'Sexually Transmitted Diseases', 'C0858708', 'itch burning', '', '', '', '', '', '
89, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0700589', 'Contraceptive methods', '', '', '', '
89, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C1318469', 'Lubrication procedure', '', '', '', '
89, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0087111', 'Therapeutic procedure', '', '', '', '
89, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1278985', 'Entire vagina
90, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
90, 'C0036916', 'Sexually Transmitted Diseases', 'C0863105', 'sore back', '', '', '', '', '', '
90, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
90, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
90, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0074125', 'bleomycin/doxorubicin/lomustine/streptozocin protocol', '', '', '', '
90, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281590', 'Entire head
90, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
90, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227936', 'Body of penis
90, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281583', 'Entire hand
90, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280739', 'Entire penis
91, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
92, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
92, 'C0036916', 'Sexually Transmitted Diseases', 'C0015230', 'Exanthema', '', '', '', '', '', '
92, 'C0036916', 'Sexually Transmitted Diseases', 'C0231218', 'Malaise', '', '', '', '', '', '
92, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
92, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0008819', 'Male Circumcision', '', '', '', '
92, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152054', 'Therapeutic tactile stimulation', '', '', '', '
93, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
93, 'C0036916', 'Sexually Transmitted Diseases', 'C0392171', 'Influenza-like symptoms', '', '', '', '', '', '
93, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
93, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152054', 'Therapeutic tactile stimulation', '', '', '', '
93, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0522772', 'Shaving - surgical procedure', '', '', '', '
94, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
94, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0886384', '5 minutes Office visit', '', '', '', '
94, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0017420', 'Genitalia
95, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
96, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
96, 'C0036916', 'Sexually Transmitted Diseases', 'C0039591', 'Pain in testicle', '', '', '', '', '', '
96, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0206248', 'Pelvic Diaphragm
97, 'C0020538', 'Hypertensive disease', '', '', '', '', '', '', '', '
97, 'C0020538', 'Hypertensive disease', '', '', 'C0339897', 'Transjugular intrahepatic portosystemic shunt procedure', '', '', '', '
100, 'C0020538', 'Hypertensive disease', '', '', '', '', '', '', '', '
100, 'C0020538', 'Hypertensive disease', '', '', 'C3687832', 'DRUGS', '', '', '', '
104, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
104, 'C0036916', 'Sexually Transmitted Diseases', 'C0497481', 'Pain in penis', '', '', '', '', '', '
104, 'C0036916', 'Sexually Transmitted Diseases', 'C0455270', 'Sharp pain', '', '', '', '', '', '
104, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0042027', 'Urinary tract
104, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
105, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
105, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0522772', 'Shaving - surgical procedure', '', '', '', '
106, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
106, 'C0036916', 'Sexually Transmitted Diseases', 'C0015230', 'Exanthema', '', '', '', '', '', '
